"","input","filtered","denoised_r1","denoised_r2","merged","nonchim"
"SRR13200563",63702,52668,53133,52385,48297,24757
"SRR13200564",32943,28963,28573,28329,23803,12981
"SRR13200565",67698,55797,55878,55760,51989,25611
"SRR13200568",32403,28517,29668,28622,27093,19061
"SRR13200569",51640,46657,47677,46862,45475,33855
"SRR13200570",59350,49996,53563,50211,47455,28638
"SRR13200573",69460,61796,62934,62027,59116,34774
"SRR13200574",67648,58758,60896,58714,55594,32732
"SRR13200578",45451,40477,40877,40743,40202,33029
"SRR13200580",46487,41253,41221,41311,36718,18800
